source,issue,PS1,PS2,PS3,y'1,y'2,y'3,y_PS,y''_PS,ACC_AI_PS
angular,"Hi, when I am trying to apply class dynamically inside ngfor like code where i is index. it is messing up my material css i.e I am not able to find any material css on the component. button looks like plain HTML button. The same is happening with other components like input as well. I am using Angular 7. any Explanation why that was not working?","The sentence """""" The same is happening with other components like input as well. """""" uses <pattern>the same is happening with sth</pattern> to indicate that there is something wrong with ""other components"". The answer is YES.","The sentence """""" it is messing up my material css """""" uses <pattern>messing up sth</pattern> to indicate that there is something wrong with ""material css"". The answer is YES.","The sentence """""" it is messing up my material css """""" uses <pattern>it is messing up sth</pattern> to indicate that there is something wrong ""inside ngfor"". The answer is YES.",0,0,0,0,0,1
angular,"is it possible to get a RouteConfig matched against a route/url? I'm trying to create a Breadcrumb component and get the configs for each of the items: ""/products/wood/table"" I already have them as an array. so would like to map those URLs to matched RouteConfig (as they have data attached to each)",No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1,1,1,1
,I have angular running from a .Net Core server. The server won't even load the app (by design) until the user has an access token. What's the best way for the angular app to get that access token and user information?,No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1,0,1,0
angular,"Hello everyone, I want to do sub menu with searh like in gitlab. i use this code for menu but i have problem in sub menu with search. how can i do that. any help please?","The sentence """""" i use this code for menu but i have problem in sub menu with search. """""" uses <pattern>have problem in sth</pattern> to indicate that there is something wrong with ""sub menu with search"". The answer is YES.","The sentence """""" i use this code for menu but i have problem in sub menu with search. """""" uses <pattern>i have problem in sth</pattern> to indicate that there is something wrong with ""sub menu with search"". The answer is YES.","The sentence """""" i use this code for menu but i have problem in sub menu with search """""" uses <pattern>have problem in sth</pattern> to indicate that the user is getting trouble in ""sub menu with search"". The answer is YES.",0,0,0,0,0,1
angular,I'm struggling with getting this logic [code]. I wanted to set a default value to the drop down if API returns no data,"The sentence """""" I'm struggling with getting this logic """""" uses <pattern>struggling with VBG</pattern> to indicate that the user is getting trouble in ""getting this logic"". The answer is YES.","The sentence """""" I'm struggling with getting this logic """""" uses <pattern>struggling with VBG</pattern> to indicate that there is something wrong with ""this logic"". The answer is YES.","The sentence """""" I'm struggling with getting this logic """""" uses <pattern>struggling with VBG</pattern> to indicate that the user is getting trouble in ""getting this logic"". The answer is YES.",0,0,0,0,0,1
angular,In this graph I have 6 series of data but i want to show only top 5 series of data [link]. how can i achieve to display top 5 series of data?. In this graph I have 6 series of data but i want to show only top 5 series of data. Is anyone online to answer my question?,"The sentence """""" In this graph I have 6 series of data but i want to show only top 5 series of data """""" uses <pattern>want to VB, but ...</pattern> to indicate that there is something wrong with ""6 series of data"". The answer is YES.","The sentence """""" Is anyone online to answer my question? """""" uses <pattern>Is anyone online to VB</pattern> but it has nothing to do with describing the error or undesired behavior, so the answer is NO.","The sentence """""" I want to show only top 5 series of data. """""" uses <pattern>want to VB only</pattern> to indicate that the user's expectation is not met. The answer is YES.",0,1,0,0,0,1
,"Hi! I have just noticed, that `[ngSwitch]=""condition""` starts displaying the new matching element before removing the old one when `condition` changes, meaning that elements for both the previous and the current switch cases are visible for a moment (a change detection cycle most likely). Is it intended behavior? Is there a workaround?","The sentence """""" starts displaying the new matching element before removing the old one when `condition` changes, meaning that elements for both the previous and the current switch cases are visible for a moment (a change detection cycle most likely). """""" uses <pattern>starts VBG</pattern> to indicate that there is something wrong ""Is it intended behavior? Is there a workaround?"". The answer is YES.","The sentence """""" starts displaying the new matching element before removing the old one """""" uses <pattern>starts VBG</pattern> to indicate that the user is getting trouble in using `[ngSwitch]=""condition""`. The answer is YES.","The sentence """""" starts displaying the new matching element before removing the old one when `condition` changes """""" uses <pattern>starts VBG before VB</pattern> to indicate that there is something wrong with ""starts displaying"". The answer is YES.",0,0,0,0,0,1
,"Hi, I'm getting below error `Element implicitly has an 'any' type because expression of type '""name1""' can't be used to index type '{}'.` Can someone help me here? TIA","The sentence """""" I'm getting below error `Element implicitly has an 'any' type because expression of type '""name1""' can't be used to index type '{}'.` """""" uses <pattern>getting error</pattern> to indicate that the user is getting trouble in ""Element implicitly has an 'any' type because expression of type '""name1""' can't be used to index type '{}'"". The answer is YES.","The sentence """""" I'm getting below error Element implicitly has an 'any' type because expression of type '""name1""' can't be used to index type '{}' """""" uses <pattern>getting error</pattern> to indicate that there is something wrong ""with the type"". The answer is YES.","The sentence """""" `Element implicitly has an 'any' type because expression of type '""name1""' can't be used to index type '{}'.` """""" uses <pattern>`Element ... any`</pattern> to indicate that there is something wrong with ""Element"". The answer is YES.",0,0,0,0,0,1
angular,What is the appropriate way of using local environments variables in Angular? I would like to import variables from local environment and use them in the Angular app. Any ideas and suggestions how to do this properly?,No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1,1,1,1
angular,"hey guys, got a weird one here. I'm using ng-select in my app, but it's used hundreds of times all over the place, so to make usage consistent and to make updating all of them easier, we made a wrapper component which has the ng-select inside it. It's mostly working very well, the only problem is with projected content. So ng-select supports projected content with `ng-option` elements, so you can do, e.g. this: [code]. This would allow options in the select list to have custom span inside them. But I cannot get this working in my wrapper. The template for the wrapper looks like: [code]. And from other templates I would use it like: [code]. I would expect projected content to be passed straight through to inner `ng-select`, but it's not working at all. If I move the `ng-content` tags out of between `ng-select` then the mark-up is rendered, but ng-select cannot use it. What am I missing? Is this even possible?","The sentence """""" But I cannot get this working in my wrapper """""" uses <pattern>cannot get sth working</pattern> to indicate that the user is getting trouble in ""get this working in my wrapper"". The answer is YES.","The sentence """""" And from other templates I would use it like: [code]. """""" uses <pattern>like: [code]</pattern> to indicate that the code shown has something wrong. The answer is YES.","The sentence """""" I cannot get this working in my wrapper """""" uses <pattern>cannot VB</pattern> to indicate that there is something wrong ""in my wrapper"". The answer is YES.",0,0,0,0,0,1
