Pattern,issue,output
PS_NEG_AUX_VERB,""""""" The ethereum wallet isn't finishing downloading.. Does anyone have this problem also? Stuck at Downloading block 892,148 of 4,637,826,Downloading chain structure 3,297,848 of 3,325,840 Any advice? Maybe I do need to put my laptop under the crane? XD Okay the running water was the fix. THANKS! """"""","The sentence """""" The ethereum wallet isn't finishing downloading. """""" uses <pattern>sth isn't finishing VBG</pattern> to indicate that there is something wrong with ""ethereum wallet"". The answer is YES."
PS_VERB_ERROR,""""""" Hi, i new here and i'm workin in some app with angular when execute the application show me this error  ""You provided an invalid object where a stream was expected"". You can provide an Observable, Promise, Array, or Iterable. any ideas ? """"""","The sentence """""" i new here and i'm workin in some app with angular when execute the application show me this error """""" uses <pattern>VB PRP this error</pattern> to indicate that there is something wrong with ""the application"". The answer is YES."
PS_PROBLEM,""""""" Im having trouble trying to update some data using and api called ""crud:crud"", I can ""get"" and ""post"" fine but ""put"" is giving me this error. How could I fix that? """"""","The sentence """""" Im having trouble trying to update some data using and api called ""crud:crud"" """""" uses <pattern>having trouble VBG</pattern> to indicate that there is something wrong when ""trying to update some data"". The answer is YES."
PS_NEG_ADV_ADJ,""""""" Anyone good with git? I'm getting some weird behavior and I can't quite make sense of it. when I do git rebase -i HEAD~3, it shows the commits in this order:  ``` commit 1 commit 2 commit 3 ```. I would expect it to be: ``` commit 3 commit 2 commit 1 ``` """"""","The sentence """""" I'm getting some weird behavior and I can't quite make sense of it. """""" uses an undesired adjective <pattern>weird</pattern> to indicate that the user is getting something wrong. The answer is YES."
PS_NEG_VERB,""""""" Hey guys, any ideas on why a test executes perfectly on a real android device, but .waitForElementById and .elementById will fail every time when I run the same exact test on SauceLabs (Android Emulator)? I'm using node bindings and the latest versions of everything. ""Error response status: 7, , NoSuchElement - An element could not be located on the page using the given search parameters"" """"""","The sentence """""" but .waitForElementById and .elementById will fail every time when I run the same exact test on SauceLabs (Android Emulator)? """""" uses <pattern>sth will fail every time</pattern> to indicate that there is something wrong with "".waitForElementById and .elementById"". The answer is YES."
PS_ERROR_NOUN_PHRASE,""""""" Hi, I'm trying to get angular 11 working with webpack 5 so I can play around with module federation for micro-frontends. When I try to convert my main app over, I get an error when localhost tries to load the page from the main.ts file. Any ideas why it can't find this? It's in node modules ``` Uncaught Error: Cannot find module '@angular/platform-browser' at webpackMissingModule (main.js:11) ``` """"""","The sentence """""" Uncaught Error: Cannot find module '@angular/platform-browser' at webpackMissingModule """""" uses <pattern>Uncaught Error: [error message]</pattern> to indicate that there is something wrong ""when localhost tries to load the page from the main.ts file"". The answer is YES."
PS_NEG_AUX_ADV_ADJ,""""""" roychri: , can you help me out with sessions. How can I add a variable into session variable which will be available during whole session. Seems like my session variable is getting refreshed when I access any link. Here is my app.js [<-LINK->] roychri: , it's here [<-LINK->] line 23 roychri: , the data variable that added, is not available in other routes. roychri: ok. Let me have a look again Thanks """"""","The sentence """""" the data variable that added, is not available in other routes. """""" uses <pattern>not available in sth</pattern> to indicate that there is something wrong with ""the data"". The answer is YES."
PS_ETD_TRY,""""""" Hi, I have a button and when I click on the button it should redirect to external URL and also the external URL needs to be scrolled [code] It is redirecting, but I wanted the redirected page to scroll. How can I acheive this? """"""","The sentence """""" It is redirecting, but I wanted the redirected page to scroll. """""" uses <pattern>it is VBG, but I wanted sth</pattern> to indicate that ""redirecting"" is an undesired behavior. The answer is YES."
PS_ONLY,""""""" Hi guys, I'm getting ready to launch the first really big angular2 app into prodution, but looking at the javascript timeline, the evaluate script of the whole bundle (300kB gzipped) takes 800ms, compared to the (more or less identical) AngularJS implementation that only took 40ms to evaluate this is quite a lot, any ideas? """""" ","The sentence """""" the evaluate script of the whole bundle (300kB gzipped) takes 800ms, compared to the (more or less identical) AngularJS implementation that only took 40ms to evaluate this is quite a lot """""" uses <pattern>only took sometime to VB</pattern> to indicate that ""the evaluate script of the whole bundle"" is taking too much time and not efficient. The answer is YES."
PS_NO_NOUN,""""""" Oooph. So I narrowed down my previous Firebase issue to the smallest scope I can... and I'm at a loss. Is there something special about 'some' event listener callbacks that prevents Angular/ReactiveX from seeing changes that are initiated within them? Even though I have a behaviorSubject calling next(updatedData), no update will occur until a heartbeat 'window.setInterval' ticks over. Even if there is literally no code within the interval's callback.  (  ) """"""","The sentence """""" no update will occur until a heartbeat 'window.setInterval' ticks over """""" uses <pattern>no NN will VB</pattern> to indicate that ""no update will occur"" is an undesired behavior. The answer is YES."
