Pattern,issue,output
PS_NEG_AUX_VERB,"Question: """""" The ethereum wallet isn't finishing downloading.. Does anyone have this problem also? Stuck at Downloading block 892,148 of 4,637,826,Downloading chain structure 3,297,848 of 3,325,840 Any advice? Maybe I do need to put my laptop under the crane? XD Okay the running water was the fix. THANKS! """"""
Answer: ","The sentence """""" The ethereum wallet isn't finishing downloading. """""" uses <pattern>sth isn't finishing VBG</pattern> to indicate that there is something wrong with ""ethereum wallet"". The answer is YES."
PS_VERB_ERROR,"Question: """""" Hi, i new here and i'm workin in some app with angular when execute the application show me this error  ""You provided an invalid object where a stream was expected"". You can provide an Observable, Promise, Array, or Iterable. any ideas ? """"""
Answer: ","The sentence """""" i new here and i'm workin in some app with angular when execute the application show me this error """""" uses <pattern>VB PRP this error</pattern> to show the error which the user is currently encountering. The answer is YES."
PS_PROBLEM,"Question: """""" Im having trouble trying to update some data using and api called ""crud:crud"", I can ""get"" and ""post"" fine but ""put"" is giving me this error. How could I fix that? """"""
Answer: ","The sentence """""" Im having trouble trying to update some data using and api called ""crud:crud"" """""" uses <pattern>having trouble VBG</pattern> to indicate that there is something wrong when ""trying to update some data"". The answer is YES."
PS_NEG_ADV_ADJ,"Question: """""" Anyone good with git? I'm getting some weird behavior and I can't quite make sense of it. when I do git rebase -i HEAD~3, it shows the commits in this order:  ``` commit 1 commit 2 commit 3 ```. I would expect it to be: ``` commit 3 commit 2 commit 1 ``` """"""
Answer: ","The sentence """""" I'm getting some weird behavior and I can't quite make sense of it. """""" uses an undesired adjective <pattern>weird</pattern> to indicate that the user is getting something wrong. The answer is YES."
PS_NEG_VERB,"Question: """""" Hey guys, any ideas on why a test executes perfectly on a real android device, but .waitForElementById and .elementById will fail every time when I run the same exact test on SauceLabs (Android Emulator)? I'm using node bindings and the latest versions of everything. ""Error response status: 7, , NoSuchElement - An element could not be located on the page using the given search parameters"" """"""
Answer: ","The sentence """""" but .waitForElementById and .elementById will fail every time when I run the same exact test on SauceLabs (Android Emulator)? """""" uses <pattern>sth will fail every time</pattern> to indicate that there is something wrong with "".waitForElementById and .elementById"". The answer is YES."
PS_NEG_AUX_ADV_ADJ,"Question: """""" roychri: , can you help me out with sessions. How can I add a variable into session variable which will be available during whole session. Seems like my session variable is getting refreshed when I access any link. Here is my app.js [<-LINK->] roychri: , it's here [<-LINK->] line 23 roychri: , the data variable that added, is not available in other routes. roychri: ok. Let me have a look again Thanks """"""
Answer: ","The sentence """""" the data variable that added, is not available in other routes. """""" uses <pattern>not available in sth</pattern> to indicate that there is something wrong with ""the data"". The answer is YES."
PS_ONLY,"Question: """""" Hi guys, I'm getting ready to launch the first really big angular2 app into prodution, but looking at the javascript timeline, the evaluate script of the whole bundle (300kB gzipped) takes 800ms, compared to the (more or less identical) AngularJS implementation that only took 40ms to evaluate this is quite a lot, any ideas? """""" 
Answer: ","The sentence """""" the evaluate script of the whole bundle (300kB gzipped) takes 800ms, compared to the (more or less identical) AngularJS implementation that only took 40ms to evaluate this is quite a lot """""" uses <pattern>only took sometime to VB</pattern> to indicate that ""the evaluate script of the whole bundle"" is taking too much time and not efficient. The answer is YES."
PS_NO_NOUN,"Question: """""" Oooph. So I narrowed down my previous Firebase issue to the smallest scope I can... and I'm at a loss. Is there something special about 'some' event listener callbacks that prevents Angular/ReactiveX from seeing changes that are initiated within them? Even though I have a behaviorSubject calling next(updatedData), no update will occur until a heartbeat 'window.setInterval' ticks over. Even if there is literally no code within the interval's callback.  (  ) """"""
Answer: ","The sentence """""" no update will occur until a heartbeat 'window.setInterval' ticks over """""" uses <pattern>no NN will VB</pattern> to indicate that ""no update will occur"" is an undesired behavior. The answer is YES."
PS_PROBLEM_IS,"Question: """""" Anyone knows a good solution to use php-cli and keep the container running it alive? I'm trying to run a micro service (Lumen) by only using php-cli. But the problem is that my container exits by itself. Probably because php-cli is not running a daemon """"""
Answer: ","The sentence """""" But the problem is that my container exits by itself """""" uses <pattern>the problem is that</pattern> to indicate that there is something wrong with ""container"". The answer is YES."
PS_VERB_NO,"Question: """""" any ideas on how i may be able to find the circular dependency? i tried adding the `--verbose` flag to the ng build command but that didn't really help tried using this tool [link], but it reports no circular dependencies. i've also looked through the code and nothing really stands out """"""
Answer: ","The sentence """"""  but it reports no circular dependencies. """""" uses <pattern>reports no JJ NNS</pattern> indicate that ""reports no circular dependencies"" is an undesired behavior. The answer is YES."
PS_SEEMS_TO_NEG_VERB,"Question: """""" Hey guys, I'm trying to get a reference to a RouterLinkActive on a link which as a ngIf on it. I have tried@ViewChild(RouterLinkActive) and@ViewChildren(RouterLinkActive) but that does not seem to work. Any ideas? """""" 
Answer: ","The sentence """""" I have tried @ViewChild(RouterLinkActive) and @ViewChildren(RouterLinkActive) but that does not seem to work """""" uses <pattern>does not seem to work</pattern>  to indicate that the user is having trouble ""get a reference to a RouterLinkActive"". The answer is YES."
PS_WITH_NO,"Question: """""" I have been trying to download the block chain for 10 days. computer has been on for then days with no sucess. this is riduclous. i have send ethereum to a account connected to this mist. it still says that i have 0 ether.........im quessing because the chain is not downloaded......... this is a on going issue. it is sad because this is the main platform. i have not experienced any other issues with second party applications. if anybody has any advice for me please shar share """"""
Answer: ","The sentence """""" computer has been on for then days with no sucess. """""" uses <pattern>with no success</pattern> to indicate that there is something wrong with computer. The answer is YES."
