issue,output
""""""" Hi guys, i have a question. I spent more the 4 hrs seraching but nothing. Image this scenario:  how can i get the values of the routes params :id and :name in the UserComponent scope? nop router 2.0.0 rc.1 """"""","The sentence """""" how can i get the values of the routes params """""" uses <pattern>how can I VB</pattern> to describe the user's expectation. The answer is YES."
""""""" Hi all, I have a list of Pair<String, Label> and the Google News Wordvecs, and I'd like to turn my first into a DatasetIterator in order to train a neural net - how would I go about that? I've looked at using a RecordReader but I can't find the right one for my use case... """"""","The sentence """""" and I'd like to turn my first into a DatasetIterator in order to train a neural net """""" uses <pattern>would like to VB</pattern> to describe the user's expectation. The answer is YES."
""""""" hi there. I am trying to use [<-LINK->] in my node js app. here is my app.js [<-LINK->]. i am using bable node server. In my routes, when I try to get req.fingerprint, I am getting undefined. Can anyone please help me out roychri: , It didn't show any error. It just prints as undefined roychri: , so you want me to put it on top? """"""","The sentence """""" I am trying to use [<-LINK->] in my node js app """""" uses <pattern>trying to VB</pattern> to describe the user's expectation. The answer is YES."
""""""" Hi folks... I'm still struggling with making a custom form input.   @mlc-mlapis was kind enough to help me a few days ago and answered just the question I asked, as well as gave me a great tip that I should be reading about Control Value Accessor. So, I did that, and I'm now trying to implement my custom form control as using CVA. I  Sadly, it's still not working 100%. The issue comes up when trying to perform validation on the custom control. I have a full [example over on stackblitz], with instructions for how to reproduce the issue I'm having.   One more piece of advice I got from @mlc-mlapis  was to implement getters/setters on my `@Input` directives. I have not implemented that as of yet, and maybe that's the problem? I don't know how it would be, but what do I know?  Probably the most helpful article I've found so far on implementing Control Value Accessor is [this one] from Max Koretskyi over on indepth.dev. I'd welcome any other input on how to make this work.   I guess the good thing is that I'm learning a bunch along the way in trying to write this dumb little custom form control. It's just a bit of a painful learning curve. <unconvertable> """"""","The sentence """""" and I'm now trying to implement my custom form control as using CVA """""" uses <pattern>trying to VB</pattern> to describe the user's expectation. The answer is YES."
""""""" I just want to make sure I am not simply misunderstanding how to use the DL4J functions.  As far as I can see, the rest of my code is correct, can anyone verify that my logic is correct and that there aren't any other mistakes that could be attributable to the problem besides tuning?  I have had success training a convolutional neural net on MNIST data, but CIFAR seems to be giving me issues.  Here is my code again: [<-LINK->] nyghtowl: Cool, I will experiment with the tuning a little on my own and be sure to post in the tuning channel some time tomorrow. """"""","The sentence """""" I just want to make sure I am not simply misunderstanding how to use the DL4J functions """""" uses <pattern>want to VB</pattern> to describe the user's expectation. The answer is YES."
""""""" Hi, I'm following tutorials from angular.io and I have (maybe weird) question. Can I configure building anyhow that I don't have all .js and .ts files in the same folder next to each other? That is causing quite a mess. When I move it somewhere else I have problems with SystemJS tho :( """"""","The sentence """""" Can I configure building anyhow that I don't have all .js and .ts files in the same folder next to each other? """""" uses <pattern>can I VB</pattern> to describe the user's expectation. The answer is YES."
""""""" Hello! If I'm looking to test a component that gets a service injected via the constructor, can I just provide a mock for the service itself so that I can focus on the actual component? """"""","The sentence """""" If I'm looking to test a component that gets a service injected via the constructor """""" uses <pattern>looking to VB</pattern> to describe the user's expectation. The answer is YES."
""""""" I'm still learning about Observables and recall there is a way for them to act as a Promise (where the other way around can't be said). So, how can I return an Observable like a Promise? nice I recalled correctly, thanks for the note """"""","The sentence """""" how can I return an Observable like a Promise? """""" uses <pattern>how can I VB</pattern> to describe the user's expectation. The answer is YES."
""""""" Hi all. I have the 2 different components:NavbarComponent,NewsComponent.DashboardComponent is a parent for their.NavbarComponent has a property items: Object[]. How can I put the data from NewsComponent to item so fNavbarComponent? """"""","The sentence """""" How can I put the data from NewsComponent to item so fNavbarComponent? """""" uses <pattern>how can I VB</pattern> to describe the user's expectation. The answer is YES."
""""""" How can I change a property of a component in a subscribed event and get it recognized in a *ngIf=""property"" in the template? The event is fired and property is changed but there is no change in frontend. """"""","The sentence """""" How can I change a property of a component in a subscribed event and get it recognized in a *ngIf=""property"" in the template? """""" uses <pattern>how can I VB</pattern> to describe the user's expectation. The answer is YES."
