issue,POS,ETD_sent,Pattern for ETD,predicted_ETD,Comment_ETD,y_ETD,y'_ETD,accuracy_ETD,PS_sent,Pattern for PS,predicted_PS,Comment_PS,y_PS,y'_PS,accuracy_PS,TS_sent
"Hi there, implementing my thesis in java, quite advanced reinforcement learning technique. I would love to use dl4j. What am I struggling is to find some good example of RL with data handling and training (dense network is fine for now, what I need is to understand how data iterators and fetchers work). Problem is that my dataset is changing all the time since it is RL and so I need full control on dataset. I was checking some of your examples, but they are very deeply encapsulated that I can't see the whole picture. Is it ok to just create BaseDataIterators and Fetchers all the time from sampled episodes? Or are there (I bet there are) some nice tricks for changing datasets over time","Hi-UH there-RB , implementing-VBG my-PRP$ thesis-NN in-IN java-NN , quite-RB advanced-JJ reinforcement-NN learning-VBG technique-NN . I-PRP would-MD love-VB to-TO use-VB dl4j-NN . What-WP am-VBP I-PRP struggling-VBG is-VBZ to-TO find-VB some-DT good-JJ example-NN of-IN RL-NN with-IN data-NNS handling-VBG and-CC training-VBG (--LRB- dense-JJ network-NN is-VBZ fine-JJ for-IN now-RB , what-WP I-PRP need-VBP is-VBZ to-TO understand-VB how-WRB data-NNS iterators-NNS and-CC fetchers-NNS work-VBP )--RRB- . Problem-NN is-VBZ that-IN my-PRP$ dataset-NN is-VBZ changing-VBG all-PDT the-DT time-NN since-IN it-PRP is-VBZ RL-NN and-CC so-RB I-PRP need-VBP full-JJ control-NN on-IN dataset-NN . I-PRP was-VBD checking-VBG some-DT of-IN your-PRP$ examples-NNS , but-CC they-PRP are-VBP very-RB deeply-RB encapsulated-JJ that-IN I-PRP ca-MD n't-RB see-VB the-DT whole-JJ picture-NN . Is-VBZ it-PRP ok-JJ to-TO just-RB create-VB BaseDataIterators-NNS and-CC Fetchers-NNS all-PDT the-DT time-NN from-IN sampled-VBN episodes-NNS ?-. Or-CC are-VBP there-EX (--LRB- I-PRP bet-VBP there-EX are-VBP )--RRB- some-DT nice-JJ tricks-NNS for-IN changing-VBG datasets-NNS over-IN time-NN ",T1: I would love to use dl4j T2: what I need is to understand how data iterators and fetchers work),"ETD_WOULD_LIKE,ETD_NEED_TO","ETD_WOULD_LIKE,ETD_NEED_TO,",,1,1,1,T1: What am I struggling is to find some good example of RL with data handling and training (dense network is fine for now T2: Problem is that my dataset is changing all the time since it is RL and so I need full control on dataset.,"PS_STRUGGLING,PS_PROBLEM_IS,PS_ERROR_OCCUR,PS_NEG_AUX_VERB,","PS_STRUGGLING,PS_PROBLEM_IS,PS_ERROR_OCCUR,PS_NEG_AUX_VERB,",,1,1,1,I was checking some of your examples
Is it possible te map users in docker-compose? I have a container that runs aswww-dataand I'd like to map this user to my local user so the container can edit files in my workspace,Is-VBZ it-PRP possible-JJ te-NNP map-NN users-NNS in-IN docker-NN --HYPH compose-VB ?-. I-PRP have-VBP a-DT container-NN that-WDT runs-VBZ aswww-RB --HYPH dataand-NN I-PRP 'd-MD like-VB to-TO map-VB this-DT user-NN to-IN my-PRP$ local-JJ user-NN so-IN the-DT container-NN can-MD edit-VB files-NNS in-IN my-PRP$ workspace-NN,I'd like to map this user to my local user so the container can edit files in my workspace,ETD_WOULD_LIKE,"ETD_WOULD_LIKE,",,1,1,1,,,0,,0,0,1,
"Hi, I just used angular 2 with the cli, it's my first try. But server live-reload doesn't work, I always have to cance the server and run it again. Is this some known problem? I tried it in vscode and webstorm. I googled around but could not finde anything.","Hi-UH , I-PRP just-RB used-VBD angular-JJ 2-CD with-IN the-DT cli-NN , it-PRP 's-VBZ my-PRP$ first-JJ try-NN . But-CC server-NN live-VB --HYPH reload-VB does-VBZ n't-RB work-VB , I-PRP always-RB have-VBP to-TO cance-VB the-DT server-NN and-CC run-VB it-PRP again-RB . Is-VBZ this-DT some-DT known-VBN problem-NN ?-. I-PRP tried-VBD it-PRP in-IN vscode-NN and-CC webstorm-NN . I-PRP googled-VBD around-RB but-CC could-MD not-RB finde-VB anything-NN . ",I always have to cance the server and run it again,ETD_HAVE_TO,"ETD_HAVE_TO,",,1,1,1,T1: But server live-reload doesn't work,PS_NEG_AUX_VERB,"PS_NEG_AUX_VERB,PS_VERB_ERROR,PS_IS_THIS_NEG,",,1,1,1,T2: I tried it in vscode and webstorm
"Hi, Im looking for a bit of advice with regards to an angularJs to angular 11 app. I have an angularJs component that requires a parent, but the parent has now been converted to an angular 11 component. Inside of the angular 11 parent component i have a method that the child calls on the childs init lifecycle. My question is how would i go about making my angular 11 component visible to the child component?","Hi-UH , Im-NNP looking-VBG for-IN a-DT bit-NN of-IN advice-NN with-IN regards-NNS to-IN an-DT angularJs-NNP to-IN angular-JJ 11-CD app-NN . I-PRP have-VBP an-DT angularJs-NNP component-NN that-WDT requires-VBZ a-DT parent-NN , but-CC the-DT parent-NN has-VBZ now-RB been-VBN converted-VBN to-IN an-DT angular-JJ 11-CD component-NN . Inside-IN of-IN the-DT angular-JJ 11-CD parent-NN component-NN i-PRP have-VBP a-DT method-NN that-WDT the-DT child-NN calls-VBZ on-IN the-DT childs-NNS init-VBP lifecycle-NN . My-PRP$ question-NN is-VBZ how-WRB would-MD i-PRP go-VB about-RB making-VBG my-PRP$ angular-JJ 11-CD component-NN visible-JJ to-IN the-DT child-NN component-NN ?-. ",T1: I have an angularJs component that requires a parent,ETD_REQUIRES,"ETD_LOOKING_TO,ETD_REQUIRES,",,1,1,1,,,0,,0,0,1,
"Hello! If I'm looking to test a component that gets a service injected via the constructor, can I just provide a mock for the service itself so that I can focus on the actual component?    (Ping @juliemr :))","Hello-UH !-. If-IN I-PRP 'm-VBP looking-VBG to-TO test-VB a-DT component-NN that-WDT gets-VBZ a-DT service-NN injected-VBN via-IN the-DT constructor-NN , can-MD I-PRP just-RB provide-VBP a-DT mock-JJ for-IN the-DT service-NN itself-PRP so-IN that-IN I-PRP can-MD focus-VB on-IN the-DT actual-JJ component-NN ?-. (--LRB- Ping-NNP @juliemr-NNP :)-NFP )--RRB- ",T1: I'm looking to test a component that gets a service injected via the constructor T2: can I just provide a mock for the service itself ,"ETD_LOOKING_TO,ETD_CAN_QUESTION","ETD_CAN_QUESTION,ETD_LOOKING_TO,",,1,1,1,,,0,,0,0,1,
"I just want to make sure I am not simply misunderstanding how to use the DL4J functions.  As far as I can see, the rest of my code is correct, can anyone verify that my logic is correct and that there aren't any other mistakes that could be attributable to the problem besides tuning?  I have had success training a convolutional neural net on MNIST data, but CIFAR seems to be giving me issues.  Here is my code again: [<-LINK->] nyghtowl: Cool, I will experiment with the tuning a little on my own and be sure to post in the tuning channel some time tomorrow.","I-PRP just-RB want-VBP to-TO make-VB sure-JJ I-PRP am-VBP not-RB simply-RB misunderstanding-NN how-WRB to-TO use-VB the-DT DL4J-NN functions-VBZ . As-RB far-RB as-IN I-PRP can-MD see-VB , the-DT rest-NN of-IN my-PRP$ code-NN is-VBZ correct-JJ , can-MD anyone-NN verify-VB that-IN my-PRP$ logic-NN is-VBZ correct-JJ and-CC that-IN there-EX are-VBP n't-RB any-DT other-JJ mistakes-NNS that-WDT could-MD be-VB attributable-JJ to-IN the-DT problem-NN besides-IN tuning-VB ?-. I-PRP have-VBP had-VBN success-NN training-NN a-DT convolutional-JJ neural-JJ net-NN on-IN MNIST-NNP data-NNS , but-CC CIFAR-NNP seems-VBZ to-TO be-VB giving-VBG me-PRP issues-NNS . Here-RB is-VBZ my-PRP$ code-NN again-RB : [--LRB- <-SYM --HYPH LINK-NN --HYPH >-SYM ]--RRB- nyghtowl-NN : Cool-UH , I-PRP will-MD experiment-VB with-IN the-DT tuning-NN a-DT little-JJ on-IN my-PRP$ own-JJ and-CC be-VB sure-JJ to-TO post-VB in-IN the-DT tuning-NN channel-NN some-DT time-NN tomorrow-NN . ",I just want to make sure I am not simply misunderstanding how to use the DL4J functions,ETD_WANT_TO,"ETD_WANT_TO,ETD_WOULD_BE,ETD_SHOULD,",,1,1,1,but CIFAR seems to be giving me issues,"PS_NEG_AUX_ADV_ADJ,PS_VERB_ERROR,PS_ERROR_OCCUR,","PS_NEG_AUX_ADV_ADJ,PS_VERB_ERROR,PS_ERROR_OCCUR,",,1,1,1,
"Hi guys, i have a question. I spent more the 4 hrs seraching but nothing. Image this scenario:  how can i get the values of the routes params :id and :name in the UserComponent scope? nop router 2.0.0 rc.1","Hi-UH guys-NNS , i-PRP have-VBP a-DT question-NN . I-PRP spent-VBD more-RBR the-DT 4-CD hrs-NNS seraching-VBG but-CC nothing-NN . Image-NN this-DT scenario-NN : how-WRB can-MD i-PRP get-VB the-DT values-NNS of-IN the-DT routes-NNS params-NNS : id-NN and-CC : name-NN in-IN the-DT UserComponent-NN scope-NN ?-. nop-JJ router-NN 2.0.0-CD rc-NN .1-CD ",how can i get the values of the routes params,ETD_CAN_QUESTION,"ETD_CAN_QUESTION,",,1,1,1,,,0,,0,0,1,
"Is there a way to find out what modules aren't used in an ngModule to do some clean up ? I@msonawanecheck rxdb I only played with it but it seemed cool [<-LINK->] Yeah well, it\'s that or something that is less ""reactive"" PouchDB, but then you might end up with something like rxdb And how did you find dexie ? Did it work well with angular ? In my case I neede","Is-VBZ there-RB a-DT way-NN to-TO find-VB out-RP what-WP modules-NNS are-VBP n't-RB used-VBN in-IN an-DT ngModule-NN to-TO do-VB some-DT clean-JJ up-RP ?-. I@msonawanecheck-NNP rxdb-NN I-PRP only-RB played-VBD with-IN it-PRP but-CC it-PRP seemed-VBD cool-JJ [--LRB- <-SYM --HYPH LINK-NN --HYPH >-SYM ]--RRB- Yeah-UH well-UH , it-PRP 's-VBZ that-DT or-CC something-NN that-WDT is-VBZ less-JJR ""-'' reactive-JJ ""-`` PouchDB-NNP , but-CC then-RB you-PRP might-MD end-VB up-RP with-IN something-NN like-IN rxdb-NN And-CC how-WRB did-VBD you-PRP find-VB dexie-NN ?-. Did-VBD it-PRP work-VB well-RB with-IN angular-JJ ?-. In-IN my-PRP$ case-NN I-PRP neede-VBP ",Is there a way to find out what modules aren't used in an ngModule to do some clean up ?,ETD_IS_THERE_QUESTION,"ETD_IS_THERE_QUESTION,",,1,1,1,but then you might end up with something like rxdb,"PS_NEG_AUX_VERB,PS_END_UP,PS_ONLY,","PS_NEG_AUX_VERB,PS_END_UP,PS_ONLY,",,1,1,1,
"Hey guys, i am getting issue with Android sdk is not seen Nothing to do!Android SDK is up to date.SDK tools directory is missing I have downloaded new version of android studio 3.1.3 and installed and i couldnot find sdk director *directory Hello , can anyone help me","Hey-UH guys-NNS , i-PRP am-VBP getting-VBG issue-NN with-IN Android-NN sdk-NN is-VBZ not-RB seen-VBN Nothing-NN to-IN do!Android-NN SDK-NN is-VBZ up-RB to-IN date.SDK-NN tools-NNS directory-NN is-VBZ missing-VBG I-PRP have-VBP downloaded-VBN new-JJ version-NN of-IN android-NN studio-NN 3.1.3-CD and-CC installed-VBN and-CC i-PRP couldnot-VBP find-VB sdk-NN director-NN *-NFP directory-NN Hello-UH , can-MD anyone-NN help-VB me-PRP ",,,0,,0,0,1,i am getting issue with Android sdk is not seen Nothing to do,"PS_PROBLEM,PS_PROBLEM_IS,PS_NEG_AUX_VERB,PS_NEG_VERB,PS_NEG_ADV_ADJ,PS_NO_NOUN,","PS_PROBLEM,PS_PROBLEM_IS,PS_NEG_AUX_VERB,PS_NEG_VERB,PS_NEG_ADV_ADJ,PS_NO_NOUN,",,1,1,1,
"Hellow all, i have this problem with Angular .  I was send data to from component A to component B then when component B change recaved data i want to callback this new data to component A. How i can do it ?","Hellow-NNP all-RB , i-PRP have-VBP this-DT problem-NN with-IN Angular-JJ . I-PRP was-VBD send-VB data-NNS to-IN from-IN component-NN A-NN to-IN component-NN B-NN then-RB when-WRB component-NN B-NN change-NN recaved-VBN data-NNS i-PRP want-VBP callback-NN this-DT new-JJ data-NNS to-IN component-NN A-NN . How-WRB i-PRP can-MD do-VB it-PRP ?-. ",T1: i want to callback this new data to component A,ETD_WANT_TO,"ETD_WANT_TO,",,1,1,1,,,"PS_PROBLEM,",,0,1,0,
