Pattern,issue,output,3_examples,6_examples,9_examples,12_examples,15_examples
ETD_TRYING_TO,"Question: """""" Hi, I'm trying to import my wallet. When i drag and drop my keystore file it flashes importing but nothing shows up in the mist wallet. Does it need my passcode or something else? I also sent Eth when my wallet wasnt synced. Will the transaction go throgh? """"""
Answer: ","The sentence """""" I'm trying to import my wallet """""" uses <pattern>trying to VB</pattern> to describe the user's expectation . The answer is YES.",0,1,1,0,1
ETD_GOING_TO,"Question: """""" I will be grateful if you could take a look on this topic -  I am going to create chatbot using websockets in Angular2. however I have a problem with ERROR TypeError: Cannot read property 'emit' of undefined """""" 
Answer: ","The sentence """"""  I am going to create chatbot using websockets in Angular2. """""" uses <pattern>going to VB</pattern> to describe the user's expectation. The answer is YES.",0,0,0,1,1
ETD_CAN_QUESTION,"Question: """""" Hello! If I'm looking to test a component that gets a service injected via the constructor, can I just provide a mock for the service itself so that I can focus on the actual component? """"""
Answer: ","The sentence """""" can I just provide a mock for the service itself so that I can focus on the actual component? """""" uses <pattern>can I VB</pattern> to describe the user's expectation. The answer is YES.",0,0,0,1,1
ETD_IMPLEMENT,"Question: """""" I have build large SPAs with Angular, but now want to add some angular ""widgets"" to a regular website (think quote of the day/flight status etc). If I use the normal webpack route, I'm going to end up with a large bundle which duplicates all the angular resources for each simple little widget. Is there an established pattern for using Angular in this way? """""" 
Answer: ","The sentence """""" I have build large SPAs with Angular """""" uses <pattern>build sth. with</pattern> to describe the user's expectation. The answer is YES.",0,0,1,0,1
ETD_NEED_TO,"Question: """""" I have my app component, routing, and a few main routes with a few main route components. I need to split the routed to component in half and put a nav bar in between it's two sections. But I do not want the nav bar to reload every time I route to a new component. How can I project a nav bar into a routed to component so that when I route to route's a, b, c or d, the nav bar stays. """""" 
Answer: ","The sentence """""" I need to split the routed to component in half and put a nav bar in between it's two sections. """""" uses <pattern>need to VB</pattern> to describe the user's expectation. The answer is YES.",0,1,1,1,0
ETD_HAVE_TO,"Question: """""" Hi guys, a quick question: how to use global SCSS variables in angular2? I've created a shared 'vars.scss' file, but know I had to import in every single component to have it avaliable? I hope there's a better solution """""" 
Answer: ","The sentence """""" but know I had to import in every single component to have it avaliable """""" uses <pattern>had to VB</pattern> to describe the user's expectation. The answer is YES.",0,0,0,1,1
ETD_FOR_EXAMPLE,"Question: """""" guys, can somebody help me w/ chained resolvers? What is a proper approach to chain resolves? e.g. a components needs result from resolverA; resolverA builds a query depending on a result from resolverB. """""" 
Answer: ","The sentence """""" e.g. a components needs result from resolverA; """""" uses an example start with <pattern>e.g. a NNS VBZ</pattern> to describe the user's expectation. The answer is YES.",0,0,1,1,0
ETD_LOOKING_TO,"Question: """""" Hello! If I'm looking to test a component that gets a service injected via the constructor, can I just provide a mock for the service itself so that I can focus on the actual component? """""" 
Answer: ","The sentence """""" If I'm looking to test a component that gets a service injected via the constructor """""" uses <pattern>looking to VB</pattern> to describe the user's expectation. The answer is YES.",0,0,0,1,1
ETD_WANT_TO,"Question: """""" How do I set a property of a component with data that is only available only afterngAfterViewInitwithout having the dev mode errorExpression has changed after it was checked? Let's say I want to set the width of some child element in a property? Setting it in asetTimeout0 doesn't seem clean to me """""" 
Answer: ","The sentence """""" Let's say I want to set the width of some child element in a property? """""" uses <pattern>want to VB</pattern> to describe the user's expectation. The answer is YES.",1,0,1,0,1
ETD_HOPE,"Question: """""" Hi, Is it possible to make a directive required in a component? We have various common components that all need to make use of a directive.   I want to make sure the developer is alerted if the directive is not applied during coding.  I was hoping to use something like an interface, but donat know if it is possible. Any ideas anyone?? Thanks. """""" 
Answer: ","The sentence """""" I was hoping to use something like an interface """""" uses <pattern>hoping to VB</pattern> to describe the user's expectation. The answer is YES.",0,0,1,1,0
