Pattern,issue,output,12_examples,14_examples
ETD_TRYING_TO,""""""" Hi, I'm trying to import my wallet. When i drag and drop my keystore file it flashes importing but nothing shows up in the mist wallet. Does it need my passcode or something else? I also sent Eth when my wallet wasnt synced. Will the transaction go throgh? """"""","The sentence """""" I'm trying to import my wallet """""" uses <pattern>trying to VB</pattern> to indicate that the user expects to ""import my wallet"". The answer is YES.",1,1
ETD_WOULD_LIKE,""""""" I'm creating a new platform on Ethereum. The issue I see arising is funding so I'm going to do an ICO. Since I am not reputable in the community, I would like to have a reputable developer advise for my project or perhaps work with me.  Any ideas of where to start or ask around? """"""","The sentence """""" I would like to have a reputable developer advise for my project or perhaps work with me. """""" uses <pattern>would like to VB</pattern> indicate that the user expects to ""have a reputable developer advise"". The answer is YES.",1,0
ETD_CAN_QUESTION,""""""" Hello! If I'm looking to test a component that gets a service injected via the constructor, can I just provide a mock for the service itself so that I can focus on the actual component? """"""","The sentence """""" can I just provide a mock for the service itself so that I can focus on the actual component? """""" uses <pattern>can I VB</pattern> to indicate that the user expects to ""only focus on the actual component"". The answer is YES.",1,1
ETD_IMPLEMENT,""""""" I have build large SPAs with Angular, but now want to add some angular ""widgets"" to a regular website (think quote of the day/flight status etc). If I use the normal webpack route, I'm going to end up with a large bundle which duplicates all the angular resources for each simple little widget. Is there an established pattern for using Angular in this way? """"""","The sentence """""" I have build large SPAs with Angular """""" uses <pattern>build sth. with</pattern> to indicate that the user expects to ""build large SPAs with Angular"". The answer is YES.",0,1
ETD_PLAN,""""""" Hi to all.  I'm starting with Angular and I'm planning to develop a UI frontend for a Rest Backend.  I was looking into UI frameworks for Angular 2 and found:  I would like to ask if any have experience with it and how it goes, or perhaps if you have a better recommendation it will be appreciated. thanks in advance """"""","The sentence """""" I'm starting with Angular and I'm planning to develop a UI frontend for a Rest Backend. """""" uses <pattern>planning to VB</pattern> to indicate that the user expects to ""develop a UI frontend for a Rest Backend"". The answer is YES.",0,1
ETD_HAVE_TO,""""""" Hi guys, a quick question: how to use global SCSS variables in angular2? I've created a shared 'vars.scss' file, but know I had to import in every single component to have it avaliable? I hope there's a better solution """"""","The sentence """""" but know I had to import in every single component to have it avaliable """""" uses <pattern>had to VB</pattern> to indicate that the user expects to ""import in every single component to have it avaliable"". The answer is YES.",1,1
ETD_NORMALLY,""""""" Hey - anyone got a minute to help my with my naming convention? My object/interface names kinda suck. Interface: [<-CODE->] Concrete implementation: [<-CODE->] Not only do my names for these things suck - they are also confusing (even to me!) Ideally, my interface would be called Fooable but I can't get the right word """"""","The sentence """""" Ideally, my interface would be called Fooable but I can't get the right word """""" uses <pattern>Ideally sth would be</pattern> to indicate that the user expects the interface to ""be called Fooable"". The answer is YES.",1,1
ETD_LOOKING_TO,""""""" Hello! If I'm looking to test a component that gets a service injected via the constructor, can I just provide a mock for the service itself so that I can focus on the actual component? """"""","The sentence """""" If I'm looking to test a component that gets a service injected via the constructor """""" uses <pattern>looking to VB</pattern> to indicate that the user expects to ""test a component"". The answer is YES.",0,1
ETD_WANT_TO,""""""" How do I set a property of a component with data that is only available only afterngAfterViewInitwithout having the dev mode errorExpression has changed after it was checked? Let's say I want to set the width of some child element in a property? Setting it in asetTimeout0 doesn't seem clean to me """"""","The sentence """""" Let's say I want to set the width of some child element in a property? """""" uses <pattern>want to VB</pattern> to indicate that the user expects to ""set the width of some child element in a property"". The answer is YES.",1,1
ETD_HOPE,""""""" Hi, Is it possible to make a directive required in a component? We have various common components that all need to make use of a directive.   I want to make sure the developer is alerted if the directive is not applied during coding.  I was hoping to use something like an interface, but donat know if it is possible. Any ideas anyone?? Thanks. """"""","The sentence """""" I was hoping to use something like an interface """""" uses <pattern>hoping to VB</pattern> to indicate that the user expects to ""use something like an interface"". The answer is YES.",1,0
ETD_THINK_ABOUT,""""""" Hi, I am aware that DL4J is recommended to be used with Java 8 but is there any way I can use DL4J with Java 10 and IntelliJ (with or w/out Maven is fine, knowing that Maven have some quirks with Java 10 as well). I was thinking of building with Maven with java SDK 8 and then running the project with java sdk 10 with imported jars from java 8 sdk that the project requires. I have success so far by getting rid of all the exceptions through from the dl4j-examples but I still have this exception: ""Error:java: java.lang.ExceptionInInitializerError"" No worries, thanks. Here's my gist: [<-LINK->] """"""","The sentence """""" I was thinking of building with Maven with java SDK 8 and then running the project with java sdk 10 with imported jars from java 8 sdk that the project requires. """""" uses <pattern>thinking of VBG</pattern> to indicate that the user expects to ""build with Maven with java SDK 8"". The answer is YES.",0,1
ETD_IS_THERE_QUESTION,""""""" Hi, is there a way to modify a RecordReaderDataSetIterator so that it reads in multiple inputs, as well as multiple outputs? I need to use a computation graph with several input and several output layers, but I can't figure out how to feed in the (csv) data """"""","The sentence """""" is there a way to modify a RecordReaderDataSetIterator so that it reads in multiple inputs """""" uses <pattern>is there a way to VB</pattern> to indicate that the user expects to ""modify a RecordReaderDataSetIterator"". The answer is YES.",1,1
ETD_BE_POSSIBLE_TO,""""""" is it possible to simulate/inject various network issues in nodejs, specifically tcp  connect timeouts and others? """"""","The sentence """""" is it possible to simulate/inject various network issues in nodejs """""" uses <pattern>is it possible to VB</pattern> to indicate that the user expects to ""simulate/inject various network issues in nodejs"". The answer is YES.",1,1
