Pattern,issue,output,1_example,2_examples,3_examples,4_examples,5_examples,6_examples,7_examples,8_examples
ETD_TRYING_TO,"Question: """""" I'm trying to implement this function interface like: [<-CODE->] It's working for the no-arg version, but even if I call with an arg it still calls the no-arg version... is there an easy way to implement that interface correctly? """"""
Answer: ","The sentence """""" I'm trying to implement this function interface like """""" uses <pattern>trying to VB</pattern> to describe the expectation of the user . The answer is YES.",0,0,0,1,0,0,1,0
ETD_GOING_TO,"Question: """""" I'm creating a new platform on Ethereum. The issue I see arising is funding so I'm going to do an ICO. Since I am not reputable in the community, I would like to have a reputable developer advise for my project or perhaps work with me.  Any ideas of where to start or ask around? """""" 
Answer: ","The sentence """"""  The issue I see arising is funding so I'm going to do an ICO. """""" uses <pattern>going to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,1,0,1,0
ETD_CONSIDER_ACTION,"Question: """""" Seeking help using aws-sdk with typescript. Followed directions at [<-LINK->] to add <reference types=""aws-sdk"" />, but still geterror TS2686: 'AWS' refers to a UMD global, but the current file is a module. Consider adding an import instead. That causes bundling issues: rollup complains thatS3 is not exported by node_modules/aws-sdk/lib/aws.js """""" 
Answer: ","The sentence """""" Consider adding an import instead. """""" uses <pattern>consider VBG</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,0,0,1,0
ETD_CAN_QUESTION,"Question: """""" Hey Guys, how can I rotate the log files of my containers. I tried 2 different approaches: 1) add this lines to my docker compose file [<-CODE->] 2) use logrotate to rotate files, which leads to the problem, that even when the file is renamed like node.log.1 the container is still logging into this file until the container is restared are newly generated. what is best practice in terms of log rotation? """""" 
Answer: ","The sentence """""" how can I rotate the log files of my containers. """""" uses <pattern>how can I VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,1,0,1,1
ETD_SUPPOSED_TO,"Question: """""" What's the official way of getting a word from a matrix index in the ParagraphVectors model? I'm getting IDs back in the form of ""null123456789"" from method. The documentation says it's supposed to return null if the thing can't be found or it should return a word from the vocab. This is neither, and I got what I'm doing from example code. The only difference is that I saved and then loaded this model before trying to run this. In the example code, they do not save or load the model. I'm asking if it's an issue Or expected behavior And, more importantly, about any mitigation / workaround steps """""" 
Answer: ","The sentence """""" The documentation says it's supposed to return null if the thing can't be found or it should return a word from the vocab """""" uses <pattern>supposed to VB</pattern> to describe the expectation of the user. The answer is YES.",1,0,0,0,0,0,1,0
ETD_IMPLEMENT,"Question: """""" Hi, I am aware that DL4J is recommended to be used with Java 8 but is there any way I can use DL4J with Java 10 and IntelliJ (with or w/out Maven is fine, knowing that Maven have some quirks with Java 10 as well). I was thinking of building with Maven with java SDK 8 and then running the project with java sdk 10 with imported jars from java 8 sdk that the project requires. I have success so far by getting rid of all the exceptions through from the dl4j-examples but I still have this exception. """""" 
Answer: ","The sentence """""" I was thinking of building with Maven with java SDK 8 and then running the project with java sdk 10 with imported jars from java 8 sdk that the project requires. """""" uses <pattern>building sth. with</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,0,1,1,0
ETD_THINK_ABOUT,"Question: """""" Does anyone have an example how to load an ssl cert off a volume? johannwagner: well, for a new production setup with commercial wildcard I would like the nginx container to load the cert off the host when possible. So I am looking for the best way to do this is the nginx Docker file. Thought of connecting host to container and store cert on the host, but not sure if that is the best way and how I would do this Aha. """""" 
Answer: ","The sentence """""" Thought of connecting host to container and store cert on the host """""" uses <pattern>thought of VBG</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,0,0,1,0
ETD_EXPECTED,"Question: """""" Anyone good with git? I'm getting some weird behavior and I can't quite make sense of it when I do git rebase -i HEAD~3 it shows the commits in this order:  ``` commit 1 commit 2 commit 3 ```. I would expect it to be: ``` commit 3 commit 2 commit 1 ``` """""" 
Answer: ","The sentence """""" I would expect it to be: """""" uses <pattern>expect it to be</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,1,0,0,0,1
ETD_NEED_TO,"Question: """""" Hi everyone, I am starting an angular integration on an opensource project. This project has some a generation steps. I would like to add an angular app generation step. First I need to know if ,on the host machine, node is already installed along with angular cli. I would also like to allow the reuse of existing node/ng installations based on user choice. Could you suggest a best practice for that? """""" 
Answer: ","The sentence """""" First I need to know if ,on the host machine, node is already installed along with angular cli. """""" uses <pattern>need to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,1,0,1,0,1
ETD_WOULD_LIKE,"Question: """""" Hello, I would like to use this exact component with two calendars in the material angle. I didn't find anything in the documentation, does anyone have any ideas? """""" 
Answer: ","The sentence """""" I would like to use this exact component with two calendars in the material angle. """""" uses <pattern>would like to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,0,1,0,0
ETD_PLAN,"Question: """""" Hi All, I am planning to use shadowdom in my application, I have a template builder which has multiple cards with its own template where each template loads its own css and js files. will I be able to execute those js files if i use shadowdom? anyhelp with my question on shadowdom? """""" 
Answer: ","The sentence """""" I am planning to use shadowdom in my application """""" uses <pattern>planning to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,0,1,0,1
ETD_HAVE_TO,"Question: """""" i have to write a unit test for one of my directives and it uses elementRef as a dependency injection in its constructor. when i create the directive in my test environment and I am injecting elementref I am getting this error. ""Property 'nativeElement' is missing in type 'typeof ElementRef'."" can anyone tell me how to get the injection working so i can test for it """""" 
Answer: ","The sentence """""" i have to write a unit test for one of my directives and it uses elementRef as a dependency injection in its constructor. """""" uses <pattern>have to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,1,1,0,1
ETD_FOR_EXAMPLE,"Question: """""" is it actually possible to separate a type definition completely from it's value? say I have a functionconst f = () => true; and I'd like to type it  at some other place for readablity reasons.. It should work somehow, since imported types from e.g. 'definitely typed' have also that kind of separation. Any hints for me? I just want to say on top of the file sth. like:f: () => boolean; """""" 
Answer: ","The sentence """""" say I have a functionconst f = () => true; """""" uses an example start with <pattern>say I have sth</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,0,1,0,0
ETD_ATTEMPT,"Question: """""" Hello, Does anyone have any experience providing observable properties from services? and spying on these in tests? I've got a service like the following:[code]. In my component test I've attempted to spy on the **project$** observable but with no luck: [code]. """""" 
Answer: ","The sentence """""" In my component test I've attempted to spy on the **project$** observable but with no luck: [code]. """""" uses <pattern>attempted to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,1,0,0,0
ETD_LOOKING_TO,"Question: """""" I am looking to migrate from a legacy Struts/JSP to an Angular application using Spring Boot and a REST API. Can anyone recommend how to do this piece by piece and not till a full replacement is created? """""" 
Answer: ","The sentence """""" I am looking to migrate from a legacy Struts/JSP to an Angular application using Spring Boot and a REST API. """""" uses <pattern>looking to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,1,0,1,0,0,0
ETD_BETTER_TO,"Question: """""" Good day! I have sigmoid output layer with 2 outputs - to make binary classification. What is it better to use as loss: LossFunction.MCXENT or LossFunction.NEGATIVELOGLIKELIHOOD? """""" 
Answer: ","The sentence """""" What is it better to use as loss: LossFunction.MCXENT or LossFunction.NEGATIVELOGLIKELIHOOD? """""" uses <pattern>better to VB</pattern> to describe the expectation of the user. The answer is YES.",0,1,0,1,0,0,0,0
ETD_WANT_TO,"Question: """""" Hey guys, i wanted to transfert this pen [<-LINK->] from codepen to [<-LINK->] but i dont know what i need to change in order to make it work , javascript to typescript karanlyons: Okay, thanks ! Same here but with angular , if i can't test plotly in [<-LINK->] , is there another environment """""" 
Answer: ","The sentence """""" i wanted to transfert this pen [<-LINK->] from codepen to [<-LINK->] but i dont know what i need to change in order to make it work , """""" uses <pattern>wanted to VB</pattern> to describe the expectation of the user. The answer is YES.",0,1,1,0,0,0,0,1
ETD_BE_POSSIBLE_TO,"Question: """""" I just played a little bit using the AnimalClassifier CNN... after some hours I got it trained... Now I want to use the net in an nother application for classification.... Is there a possibility to restore the label names somehow? yes... I know... printed them out after evaluation phase... the order will be the same I suppose? but they are not stored in the serialized network... ok The order of label names in rr.getLabels() and output array correspond? """""" 
Answer: ","The sentence """""" Is there a possibility to restore the label names somehow? """""" uses <pattern>is there a possibility to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,1,0,0,0,0,1
ETD_HOPE,"Question: """""" raver119: still working up the issue. Quick question: is there a way to run cudaProfilerStop() or cuProfilerStop() via ND4J? bummer. I can't seem to get nvvp to reliably record profile data without that. I'm using sbt/intellij rather than maven/eclipse, so there's some overhead that I hope to avoid. """""" 
Answer: ","The sentence """""" so there's some overhead that I hope to avoid. """""" uses <pattern>sth that I hope to VB</pattern> to describe the expectation of the user. The answer is YES.",0,0,0,0,0,0,0,1
