Pattern,issue,output,12_examples,14_examples
PS_ONLY,""""""" Hi guys, I'm getting ready to launch the first really big angular2 app into prodution, but looking at the javascript timeline, the evaluate script of the whole bundle (300kB gzipped) takes 800ms, compared to the (more or less identical) AngularJS implementation that only took 40ms to evaluate this is quite a lot, any ideas? """"""","The sentence """""" the evaluate script of the whole bundle (300kB gzipped) takes 800ms, compared to the (more or less identical) AngularJS implementation that only took 40ms to evaluate this is quite a lot """""" uses <pattern>only took sometime to VB</pattern> to indicate that ""the evaluate script of the whole bundle"" is taking too much time and not efficient. The answer is YES.",1,1
PS_VERB_TO_BE_NEGATIVE,""""""" How can I change a property of a component in a subscribed event and get it recognized in a *ngIf=""property"" in the template? The event is fired and property is changed but there is no change in frontend. """"""","The sentence """""" The event is fired and property is changed but there is no change in frontend. """""" uses <pattern>there is no NN in</pattern> to indicate that there is something wrong ""in frontend"". The answer is YES.",1,1
PS_STRUGGLING,""""""" I'm struggling with Nd4j.sortWithIndices(lookup_table.getSyn0().norm2(0), 0, false);. The indices are all 0. I'm trying to get the index for the glossary I think I found a way. I iterate over the glossary, useindexOf(String word) to get the indices of my words, then usegetWordVector(String word) for the vectors for my words. I then build a map from these two. """"""","The sentence """""" I'm struggling with Nd4j.sortWithIndices(lookup_table.getSyn0().norm2(0), 0, false) """""" uses <pattern>struggling with sth</pattern> to indicate that there is something wrong with ""Nd4j.sortWithIndices"". The answer is YES.",1,1
PS_FIND_HARD,""""""" Is there a guide anywhere on how to figure out what type certain JS functions should be? I find it hard currently to type annotate existing JS code as I am not sure what the types should be. is there any helper tool available for this? I am currently simply reading over the code line by line and trying to understand what it should return and the types of all things, its hard because codebase is also not as documented """"""","The sentence """""" I find it hard currently to type annotate existing JS code as I am not sure what the types should be """""" uses <pattern>find it hard to VB</pattern> to indicate that the user is having trouble in ""type annotate existing JS code"". The answer is YES.",0,1
PS_NEG_AUX_ADV_ADJ,""""""" roychri: , can you help me out with sessions. How can I add a variable into session variable which will be available during whole session. Seems like my session variable is getting refreshed when I access any link. Here is my app.js [<-LINK->] roychri: , it's here [<-LINK->] line 23 roychri: , the data variable that added, is not available in other routes. roychri: ok. Let me have a look again Thanks """"""","The sentence """""" the data variable that added, is not available in other routes. """""" uses <pattern>not available in sth</pattern> to indicate that there is something wrong with ""the data"". The answer is YES.",1,1
PS_SEEMS_TO_NEG_VERB,""""""" Hey guys, I'm trying to get a reference to a RouterLinkActive on a link which as a ngIf on it. I have tried @ViewChild (RouterLinkActive) and @ViewChildren (RouterLinkActive) but that does not seem to work. Any ideas? """"""","The sentence """""" I have tried @ViewChild (RouterLinkActive) and @ViewChildren (RouterLinkActive) but that does not seem to work """""" uses <pattern>does not seem to work</pattern>  to indicate that the user is having trouble ""get a reference to a RouterLinkActive"". The answer is YES.",1,1
PS_TOO,""""""" Hello,  Can someone help me? I have a service 1 but it turns out that this service is getting too big so I decided to split into several services. Now I have service 1, service 1.1 and service 1.2. Now is better because I was able to split the responsabilities among this services but I would like to expose service 1 only. I don't want that any code other than service 1 to be able to inject service 1.1 and service 1.2. Is this possible? """"""","The sentence """""" I have a service 1 but it turns out that this service is getting too big so I decided to split into several services. """""" uses <pattern>something is getting too JJ</pattern> to indicate that there is something wrong with ""this service"". The answer is YES.",1,1
PS_END_UP,""""""" Hi All,  i have a trained LSTM serving in production. while doing prediction continously using ""model.output(input)"" suddenly massive amounts of threads are getting created ending up in restarting the server. I am not able to trace the reason. Please enlight me on this Thread counts are suddenly spiking from 100's to 1000's for very few seconds """"""","The sentence """""" suddenly massive amounts of threads are getting created ending up in restarting the server """""" uses <pattern>ending up in VBG</pattern> to indicate that ""restarting the server"" is an undesired behavior. The answer is YES.",1,1
PS_NEG_AUX_VERB,""""""" The ethereum wallet isn't finishing downloading.. Does anyone have this problem also? Stuck at Downloading block 892,148 of 4,637,826,Downloading chain structure 3,297,848 of 3,325,840 Any advice? Maybe I do need to put my laptop under the crane? XD Okay the running water was the fix. THANKS! """"""","The sentence """""" The ethereum wallet isn't finishing downloading. """""" uses <pattern>sth isn't finishing VBG</pattern> to indicate that there is something wrong with ""ethereum wallet"". The answer is YES.",1,1
PS_VERB_NO,""""""" any ideas on how i may be able to find the circular dependency? i tried adding the `--verbose` flag to the ng build command but that didn't really help tried using this tool [link], but it reports no circular dependencies. i've also looked through the code and nothing really stands out """"""","The sentence """"""  but it reports no circular dependencies. """""" uses <pattern>reports no JJ NNS</pattern> indicate that ""reports no circular dependencies"" is an undesired behavior. The answer is YES.",0,1
PS_NO_NOUN,""""""" Oooph. So I narrowed down my previous Firebase issue to the smallest scope I can... and I'm at a loss. Is there something special about 'some' event listener callbacks that prevents Angular/ReactiveX from seeing changes that are initiated within them? Even though I have a behaviorSubject calling next(updatedData), no update will occur until a heartbeat 'window.setInterval' ticks over. Even if there is literally no code within the interval's callback. """"""","The sentence """""" no update will occur until a heartbeat 'window.setInterval' ticks over """""" uses <pattern>no NN will VB</pattern> to indicate that ""no update will occur"" is an undesired behavior. The answer is YES.",1,1
PS_WITH_NO,""""""" I have been trying to download the block chain for 10 days. computer has been on for then days with no sucess. this is riduclous. i have send ethereum to a account connected to this mist. it still says that i have 0 ether.........im quessing because the chain is not downloaded......... this is a on going issue. it is sad because this is the main platform. i have not experienced any other issues with second party applications. if anybody has any advice for me please shar share """"""","The sentence """""" computer has been on for then days with no sucess. """""" uses <pattern>with no success</pattern> to indicate that there is something wrong with computer. The answer is YES.",1,1
PS_VERB_NO,""""""" Hi, is there any way to detect no router change? I mean situation when user click the same routerLink he is allready in i would like to implement some monkeyPatch for forcing angular 4 router to reinitialize route """"""","The sentence """"""  is there any way to detect no router change? """""" uses <pattern>detect no router change</pattern> but ""no router change"" is a noun phrase here to indicate the user's expectation instead of describing the error or undesired behavior, so the answer is NO.",0,0
PS_NEG_ADV_ADJ,""""""" Any idea on how to provider a service to two different lazy loaded modules in the best way? It is funny in some places (stackeroverflow) guys are saying that having services in a shared module is bad practice and others say it is the right way :D """"""","The sentence """""" It is funny in some places (stackeroverflow) guys are saying that having services in a shared module is bad practice and others say it is the right way :D """""" uses <pattern>sth is bad practice</pattern> but it is said by some other guys, not represents the user's point, so the answer is NO.",0,0
PS_PROBLEM,""""""" Question about Observables: If I have Observable A, and things are subscribed to it, is there a way to take Observable B and merge it into A so that all of As subscriptions are notified of the elements in B? """"""","The sentence """""" Question about Observables: """""" uses <pattern>question about sth</pattern> but after the semi-colon, it is only an example to describe the user's expectation instead of describing the error or undesired behavior, so the answer is NO.",0,0
PS_WITH_NO,""""""" so far, the examples related to sequences deal with texts of natural languages (with known delimiters), whereas there are other kind of sequences like DNA sequences, protein sequences with no delimiters. Can you please recommend me the closest example to my issue, to start from. """"""","The sentence """""" protein sequences with no delimiters """""" uses <pattern>with no NNS</pattern> but it is only used for describing the sequence example instead of describing the error or undesired behavior, so the answer is NO.",0,1
PS_NEG_AUX_VERB,""""""" Hi guys, what is the next step after [<-LINK->] ? deep net for classification, prediction, sentiment analysis, yes but how to ? Only available examples do it by using already separated positive/negative data. Can't we use google Word2Vec file (1.5Go) to do that ? """"""","The sentence """"""  Can't we use google Word2Vec file (1.5Go) to do that ? """""" uses <pattern>can't .. VB</pattern> but this is just a rhetorical question instead of describing the error or undesired behavior, so the answer is NO.",0,0
PS_ONLY,""""""" Does anyone know of a way to determine if a type could also refer to a value?  That is, if the type is of a Class, then do one conditional type branch, and if it is only an Interface or primitive then it will use the other branch. """"""","The sentence """""" and if it is only an Interface or primitive then it will use the other branch """""" uses <pattern>if it is only</pattern> to describe one condition of the example instead of describing the error or undesired behavior, so the answer is NO.",1,0
PS_NEG_AUX_ADV_ADJ,""""""" I'm buying bitcoin from someone via Localbitcoin, my aim is like@Swinks95, I want to leave the ether I get in for a while, maybe a  couple of years/months, not sure yet. I was going to change the bitcoin I buy to ether via shapeshift.io. do you know if that  site is reliable? I have solarpanels on my roof!! Haha maybe I'll wait till some point in the future if  it's not so rewarding """"""","The sentence """""" maybe a  couple of years/months, not sure yet """""" uses <pattern>not sure</pattern> but it has nothing to do with describing the error or undesired behavior, so the answer is NO.",0,0
PS_NO_NOUN,""""""" Anyone could shared some lights on config dp4j run on GPU with sbt? I see the document here: [<-LINK->] It says I should change <nd4j.backend>nd4j-native-platform</nd4j.backend> under the properties in POM.xml. So no configuration is needed? """"""","The sentence """""" So no configuration is needed? """""" uses <pattern>no NN is needed</pattern> but it has nothing to do with describing the error or undesired behavior, so the answer is NO.",0,0
PS_VERB_ERROR,""""""" Hi everyone, does anyone know how to get the mat-error and mat-hit animations? I have made a custom the mat-error and mat-hint like elements and would like to animate them exactly as in material. Thank you. """"""","The sentence """"""  does anyone know how to get the mat-error and mat-hit animations? """""" uses <pattern>get the mat-error</pattern> but this pattern is in the ""how-to"" question, it is only the user's expectation instead of describing the error or undesired behavior, so the answer is NO.",0,0
PS_NEG_VERB,""""""" Are there performance gains to be had by breaking up a medium size component template into many smaller components w/ inputs for their relevant pieces of data? I understand the organizational benefits of having small, laser-focused components, I'm just on the fence about how granular I should be getting. """"""","The sentence """""" Are there performance gains to be had by breaking up a medium size component template into many smaller components w/ inputs for their relevant pieces of data? """""" uses an undesired verb phrase <pattern>breaking up sth</pattern> but ""breaking up a medium size component"" is the intention of the user, not the error or undesired behavior, so the answer is NO.",0,0
,""""""" Is it possible te map users in docker-compose? I have a container that runs aswww-data and I'd like to map this user to my local user so the container can edit files in my workspace """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,1
,""""""" Hello! If I'm looking to test a component that gets a service injected via the constructor, can I just provide a mock for the service itself so that I can focus on the actual component? """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.,1,0
