Pattern,issue,output,1_example,2_examples,5_examples,6_examples,12_examples,14_examples
PS_ONLY,""""""" Hi guys, I'm getting ready to launch the first really big angular2 app into prodution, but looking at the javascript timeline, the evaluate script of the whole bundle (300kB gzipped) takes 800ms, compared to the (more or less identical) AngularJS implementation that only took 40ms to evaluate this is quite a lot, any ideas? """"""",The answer is YES.,1,1,1,1,1,1
PS_PROBLEM,""""""" Im having trouble trying to update some data using and api called ""crud:crud"", I can ""get"" and ""post"" fine but ""put"" is giving me this error. How could I fix that? """"""",The answer is YES.,0,0,0,0,1,1
PS_NEG_VERB,""""""" Hey guys, any ideas on why a test executes perfectly on a real android device, but .waitForElementById and .elementById will fail every time when I run the same exact test on SauceLabs (Android Emulator)? I'm using node bindings and the latest versions of everything. ""Error response status: 7, , NoSuchElement - An element could not be located on the page using the given search parameters"" """"""",The answer is YES.,0,0,1,1,1,1
PS_PROBLEM_IS,""""""" Anyone knows a good solution to use php-cli and keep the container running it alive? I'm trying to run a micro service (Lumen) by only using php-cli. But the problem is that my container exits by itself. Probably because php-cli is not running a daemon """"""",The answer is YES.,0,0,1,1,0,1
PS_NEG_AUX_ADV_ADJ,""""""" roychri: , can you help me out with sessions. How can I add a variable into session variable which will be available during whole session. Seems like my session variable is getting refreshed when I access any link. Here is my app.js [<-LINK->] roychri: , it's here [<-LINK->] line 23 roychri: , the data variable that added, is not available in other routes. roychri: ok. Let me have a look again Thanks """"""",The answer is YES.,0,0,0,0,1,1
PS_SEEMS_TO_NEG_VERB,""""""" Hey guys, I'm trying to get a reference to a RouterLinkActive on a link which as a ngIf on it. I have tried @ViewChild (RouterLinkActive) and @ViewChildren (RouterLinkActive) but that does not seem to work. Any ideas? """"""",The answer is YES.,0,0,0,0,1,1
PS_NEG_ADV_ADJ,""""""" Anyone good with git? I'm getting some weird behavior and I can't quite make sense of it. when I do git rebase -i HEAD~3, it shows the commits in this order:  ``` commit 1 commit 2 commit 3 ```. I would expect it to be: ``` commit 3 commit 2 commit 1 ``` """"""",The answer is YES.,0,0,1,1,1,1
PS_VERB_ERROR,""""""" Hi, i new here and i'm workin in some app with angular when execute the application show me this error  ""You provided an invalid object where a stream was expected"". You can provide an Observable, Promise, Array, or Iterable. any ideas ? """"""",The answer is YES.,0,0,0,0,1,1
PS_NEG_AUX_VERB,""""""" The ethereum wallet isn't finishing downloading.. Does anyone have this problem also? Stuck at Downloading block 892,148 of 4,637,826,Downloading chain structure 3,297,848 of 3,325,840 Any advice? Maybe I do need to put my laptop under the crane? XD Okay the running water was the fix. THANKS! """"""",The answer is YES.,0,0,0,0,1,1
PS_VERB_NO,""""""" any ideas on how i may be able to find the circular dependency? i tried adding the `--verbose` flag to the ng build command but that didn't really help tried using this tool [link], but it reports no circular dependencies. i've also looked through the code and nothing really stands out """"""",The answer is YES.,0,0,0,0,0,1
