Pattern,issue,output,1_example,2_examples,3_examples,4_examples,5_examples,6_examples,7_examples,8_examples
PS_ONLY,"Question: """""" Hi guys, I'm getting ready to launch the first really big angular2 app into prodution, but looking at the javascript timeline, the evaluate script of the whole bundle (300kB gzipped) takes 800ms, compared to the (more or less identical) AngularJS implementation that only took 40ms to evaluate this is quite a lot, any ideas? """""" 
Answer: ","The sentence """""" the evaluate script of the whole bundle (300kB gzipped) takes 800ms, compared to the (more or less identical) AngularJS implementation that only took 40ms to evaluate this is quite a lot """""" uses <pattern>only took sometime to VB</pattern> to indicate that ""the evaluate script of the whole bundle"" is taking too much time and not efficient. The answer is YES.",0,0,0,0,1,0,0,1
PS_STUCK,"Question: """""" Um... maybe this is a stupid problem but really confuse me. With the progress of regression training, the error becomes bigger and bigger. Did the ""identity"" activation have some special requirements about input? For example, between -1 and 1? thanks first, I will try it hope it can solve the problem The train result is always converge to the mean of  train set output when using ""identity"". It seems the model is just a line. What's wrong? I just want to fit a curve. So maybe i stuck into a local minimum value... I am sorry about my words. """"""
Answer: ","The sentence """""" So maybe i stuck into a local minimum value """""" uses <pattern>stuck into sth</pattern> to indicate that the user is having trouble getting ""a local minimum value"". The answer is YES.",0,0,1,0,0,0,1,1
PS_ERROR_NOUN_PHRASE,"Question: """""" Hi, I'm trying to get angular 11 working with webpack 5 so I can play around with module federation for micro-frontends. When I try to convert my main app over, I get an error when localhost tries to load the page from the main.ts file. Any ideas why it can't find this? It's in node modules ``` Uncaught Error: Cannot find module '@angular/platform-browser' at webpackMissingModule (main.js:11) ``` """"""
Answer: ","The sentence """""" Uncaught Error: Cannot find module '@angular/platform-browser' at webpackMissingModule """""" uses <pattern>Uncaught Error: [error message]</pattern> to indicate that there is something wrong ""when localhost tries to load the page from the main.ts file"". The answer is YES.",0,0,0,1,0,0,1,1
PS_ERROR_OCCUR,"Question: """""" Hello community, can somebody tell me why i am getting this error while using socketio-client module with flask-socket-io: this error is at my angular app console: WebSocket connection to [LINK] failed: Error during WebSocket handshake: Unexpected response code: 400 """"""
Answer: ","The sentence """""" this error is at my angular app console """""" uses <pattern>error is IN someplace</pattern> indicate where ""this error"" occurs. The answer is YES.",0,0,0,0,1,0,0,1
PS_VERB_TO_BE_NEGATIVE,"Question: """""" How can I change a property of a component in a subscribed event and get it recognized in a *ngIf=""property"" in the template? The event is fired and property is changed but there is no change in frontend. """"""
Answer: ","The sentence """""" The event is fired and property is changed but there is no change in frontend. """""" uses <pattern>there is no NN in</pattern> to indicate that there is something wrong ""in frontend"". The answer is YES.",1,0,0,0,0,1,0,1
PS_WITH_NO,"Question: """""" I have been trying to download the block chain for 10 days. computer has been on for then days with no sucess. this is riduclous. i have send ethereum to a account connected to this mist. it still says that i have 0 ether.........im quessing because the chain is not downloaded......... this is a on going issue. it is sad because this is the main platform. i have not experienced any other issues with second party applications. if anybody has any advice for me please shar share """"""
Answer: ","The sentence """""" computer has been on for then days with no sucess. """""" uses <pattern>with no success</pattern> to indicate that there is something wrong with computer. The answer is YES.",0,0,0,0,0,0,0,1
PS_PROBLEM,"Question: """""" Im having trouble trying to update some data using and api called ""crud:crud"", I can ""get"" and ""post"" fine but ""put"" is giving me this error. How could I fix that? """"""
Answer: ","The sentence """""" Im having trouble trying to update some data using and api called ""crud:crud"" """""" uses <pattern>having trouble VBG</pattern> to indicate that there is something wrong when ""trying to update some data"". The answer is YES.",0,0,0,0,0,0,1,1
PS_STRUGGLING,"Question: """""" I'm struggling with Nd4j.sortWithIndices(lookup_table.getSyn0().norm2(0), 0, false);. The indices are all 0. I'm trying to get the index for the glossary I think I found a way. I iterate over the glossary, useindexOf(String word) to get the indices of my words, then usegetWordVector(String word) for the vectors for my words. I then build a map from these two. """""" 
Answer: ","The sentence """""" I'm struggling with Nd4j.sortWithIndices(lookup_table.getSyn0().norm2(0), 0, false) """""" uses <pattern>struggling with sth</pattern> to indicate that there is something wrong with ""Nd4j.sortWithIndices"". The answer is YES.",0,1,0,0,0,0,0,1
PS_NEG_VERB,"Question: """""" Hey guys, any ideas on why a test executes perfectly on a real android device, but .waitForElementById and .elementById will fail every time when I run the same exact test on SauceLabs (Android Emulator)? I'm using node bindings and the latest versions of everything. ""Error response status: 7, , NoSuchElement - An element could not be located on the page using the given search parameters"" """"""
Answer: ","The sentence """""" but .waitForElementById and .elementById will fail every time when I run the same exact test on SauceLabs (Android Emulator)? """""" uses <pattern>sth will fail every time</pattern> to indicate that there is something wrong with "".waitForElementById and .elementById"". The answer is YES.",0,0,0,0,0,0,1,0
PS_PROBLEM_IS,"Question: """""" Anyone knows a good solution to use php-cli and keep the container running it alive? I'm trying to run a micro service (Lumen) by only using php-cli. But the problem is that my container exits by itself. Probably because php-cli is not running a daemon """"""
Answer: ","The sentence """""" But the problem is that my container exits by itself """""" uses <pattern>the problem is that</pattern> to indicate that there is something wrong with ""container"". The answer is YES.",0,0,0,1,0,0,1,0
PS_NOT_IN,"Question: """""" Working on setting up our data store to use ngRx entity but having an issue because of the way the data needs to be set up for use...currently am getting data back in this format: [{id: 1, amount: 5}, {id: 2, amount: 7}] but for ngRx entity it appears to need the data in the following format: [ 0: {id: 1, amount: 5}, 1: {id: 2, amount: 7}] .  Since changing every stored procedure/ controller on the backend is not in the cards to enable this change, is there a way to map this properly on the front end when the data comes back before it tries to use it via ngRx entity? """"""
Answer: ","The sentence """""" Since changing every stored procedure/ controller on the backend is not in the cards to enable this change """""" uses <pattern>is not in sth</pattern> to indicate that there is something wrong with ""procedure/ controller"". The answer is YES.",0,0,0,0,0,1,1,0
