Pattern,issue1,output1,issue2,output2,issue3,output3,1_example,2_examples,3_examples,4_examples,5_examples,6_examples,7_examples,8_examples
PS_ONLY,"Question: """""" I noticed my old word2vec files stopped working, so I made some new ones,  using the writeFullModel function. But it seems the only thing it stores are the vectors, not the words? and loadFullModel also can't load the file the fitted model in the memory works fine, it seems saving it is where the problem is. Should I use writeFullModel, or should I save it in a different way? """"""
Answer: ","The sentence """""" But it seems the only thing it stores are the vectors, not the words? """""" uses <pattern>the only thing it VBZ</pattern> to describe the limitation of the method which the user is currently trying.  The answer is YES.","Question: """""" hi, I'm using a CNN similar to this given in the CnnSentenceClassificationExample. The following exception occurs: UnsupportedOperationException: Masked global pooling with on CNN data currently only supports data with h=1 or w=1. Anyone encountered this before? """"""
Answer: ","The sentence """""" Masked global pooling with on CNN data currently only supports data with h=1 or w=1. """""" uses <pattern>sth currently only supports sth</pattern> to describe the limitation of the method which the user is currently trying. The answer is YES.","Question: """""" is it possible to get client private ip in angular, please help. i tried this [link], but it is returning only the public ip. any other way to private ip example :192.168.56.X. """"""
Answer: ","The sentence """""" but it is returning only the public ip. """""" uses <pattern>it is VBG only sth</pattern> to describe the limitation of the method which the user is currently trying. The answer is YES.",0,0,0,0,1,0,1,1
PS_STUCK,"Question: """""" Hello Angular devs, I am stuck with one issue where I have three sections each section has one link which will open the slider with data.. I have another section which has a button and the button click subscribes to the behaviorsubject to trigger the link click event. When I click the button it is subscribing for three times..how to avoid subscribing multiple times? """"""
Answer: ","The sentence """""" I am stuck with one issue where I have three sections each section has one link which will open the slider with data """""" uses <pattern>be stuck with sth</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" Um... maybe this is a stupid problem but really confuse me. With the progress of regression training, the error becomes bigger and bigger. Did the ""identity"" activation have some special requirements about input? For example, between -1 and 1? thanks first, I will try it hope it can solve the problem The train result is always converge to the mean of  train set output when using ""identity"". It seems the model is just a line. What\'s wrong? I just want to fit a curve. So maybe i stuck into a local minimum value... I am sorry about my words. """"""
Answer: ","The sentence """""" So maybe i stuck into a local minimum value """""" uses <pattern>stuck into sth</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" The ethereum wallet isn't finishing downloading.. Does anyone have this problem also? Stuck at Downloading block 892,148 of 4,637,826,Downloading chain structure 3,297,848 of 3,325,840. Any advice? Maybe I do need to put my laptop under the crane? XD Okay the running water was the fix. THANKS! """"""
Answer: ","The sentence """""" Stuck at Downloading block 892,148 of 4,637,826,Downloading chain structure 3,297,848 of 3,325,840 """""" uses <pattern>stuck at VBG</pattern> to describe the problem which the user is currently encountering. The answer is YES.",0,0,1,0,0,0,1,1
PS_ERROR_NOUN_PHRASE,"Question: """""" Hi, I'm trying to get angular 11 working with webpack 5 so I can play around with module federation for micro-frontends. When I try to convert my main app over, I get an error when localhost tries to load the page from the main.ts file. Any ideas why it can't find this? It's in node modules ``` Uncaught Error: Cannot find module '@angular/platform-browser' at webpackMissingModule (main.js:11) ``` """"""
Answer: ","The sentence """""" Uncaught Error: Cannot find module '@angular/platform-browser' at webpackMissingModule """""" uses <pattern>Uncaught Error: [error message]</pattern> to describe the error which the user is currently encountering. The answer is YES.","Question: """""" Hi all Does anyone use truffle? I use truffle to test and deploy a contract, but it seems there is some unknow problems. my code is simplepragma solidity ^0.4.2; contract VictimToken { [<-CODE->] } web3.eth.sendTransaction({to:VictimToken.address, value:1})when I invoke this command, it always show me error message Error: VM Exception while processing transaction: revert. Any reply is appreciated phalexo: Are u sure? my compile and migrate stages are okay """"""
Answer: ","The sentence """""" it always show me error message Error: VM Exception while processing transaction: revert. """""" uses <pattern>error message Error: [error message]</pattern> to describe the error which the user is currently encountering. The answer is YES.","Question: """""" HI All, build prod on the latest beta of v12 produces this cryptic error message: ``` index. html generation failed undefined:6:6 property missing ':' ``` did you try to upgrade typescript first? """"""
Answer: ","The sentence """""" build prod on the latest beta of v12 produces this cryptic error message: ``` index. html generation failed undefined:6:6 property missing ':' ``` """""" uses <pattern>error message: ```[error message]```</pattern> to describe the error which the user is currently encountering. The answer is YES.",0,0,0,1,0,0,1,1
PS_ERROR_OCCUR,"Question: """""" I'm trying to use and understand angualr-cli but the AoT compiler ngc.  I created a new project with ng-cli and then tried to compile it with ngc and got a lot of errors.  The errors were on angular source itself """"""
Answer: ","The sentence """""" The errors were on angular source itself """""" uses <pattern>errors were on sth</pattern> to describe where the error occurs. The answer is YES.","Question: """""" does anyone know how to get `window.onerror` or `window.addEventListener('error', event => {})` working with angular? I add either and when an error occurs, nothing happens :( [code]. I also have an `ErrorHandler` set up, and that is working for any errors inside Angular land, but I figure the above should also work - and globally. (the problem is that I have an error that is occurring outside angular land, and is not being handled by the angular ErrorHandler) """"""
Answer: ","The sentence """""" the problem is that I have an error that is occurring outside angular land """""" uses <pattern>error that is occurring outside sth</pattern> to describe where the error occurs. The answer is YES.","Question: """""" can anyone think of a reason why copying an entire module from one app to another might cause compilation errors in that module?  As far as I can tell, the package.jsons are identical in terms of angular dependencies.  The error is occurring in a template and is error TS2322: Type 'any' is not assignable to type 'never' """"""
Answer: ","The sentence """""" The error is occurring in a template and is error TS2322 """""" uses <pattern>error is occurring in sth</pattern> to describe where the error occurs. The answer is YES.",0,0,0,0,1,0,0,1
PS_VERB_TO_BE_NEGATIVE,"Question: """""" How can I change a property of a component in a subscribed event and get it recognized in a *ngIf=""property"" in the template? The event is fired and property is changed but there is no change in frontend. """"""
Answer: ","The sentence """""" The event is fired and property is changed but there is no change in frontend. """""" uses <pattern>there is no NN in</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" Hello guys, How can I represent a type, that is not assignable to another type? Like T extends U, but in reverse way I know there is no ""T not extends U"" so how can I do that. And I can't use the false branch of the conditional types in my context """"""
Answer:","The sentence """""" but in reverse way I know there is no ""T not extends U"" so how can I do that """""" uses <pattern>there is no sth</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" guys, I'm desperately looking for a way to me to put my game project on TypeScript but I can't do so before solve one issue. Since in my game I'm using a components system, I need to have classes generated from few component classes  and here comes a problem. There are no multi inheritance in ts I can't use decorators for that because ts will know nothing about components types. I was thinking about something like I can't use mixins. Because following this [link], I should put tedails of each component in each entity which is not a way to go because each time I change something in component, I should change it in each entities where it is applied. so what is my ways to solve this? """"""
Answer:","The sentence """""" There are no multi inheritance in ts I can't use decorators for that because ts will know nothing about components types. """""" uses <pattern>there are no sth</pattern> to describe the problem which the user is currently encountering. The answer is YES.",1,0,0,0,0,1,0,1
PS_WITH_NO,"Question: """""" so far, the examples related to sequences deal with texts of natural languages (with known delimiters), whereas there are other kind of sequences like DNA sequences, protein sequences with no delimiters. Can you please recommend me the closest example to my issue, to start from. """"""
Answer: ","The sentence """""" protein sequences with no delimiters """""" uses <pattern>with no NNS</pattern> to indicate that there is something wrong with protein sequences. The answer is YES.","Question: """""" I have been trying to download the block chain for 10 days. computer has been on for then days with no sucess. this is riduclous. i have send ethereum to a account connected to this mist. it still says that i have 0 ether.........im quessing because the chain is not downloaded......... this is a on going issue. it is sad because this is the main platform. i have not experienced any other issues with second party applications. if anybody has any advice for me please shar share """"""
Answer: ","The sentence """""" computer has been on for then days with no sucess. """""" uses <pattern>with no success</pattern> to indicate that there is something wrong with computer. The answer is YES.","Question: """""" HI, I have files with HTML content in the file system. (ex: foo.html, bar.html). I can load these files from the NodeJS server to Angular and embed using an iFrame or to a div using innerHTML attrib with only using the HTML body content. NOTE: These HTML contents are also having references for images (JPEG, SVG, etc.)  Also, I have JSON files with table data that need to embed in this HTML content as an HTML table with functionalities like filtering, sorting, etc., making a complete HTML page and dynamically load in the FE.  What are the things that I should do and do not in this kind of case and best practices, guidance that I should follow and apply?   It would be great to have ideas from the community before the implementation of the use case.  Thank you very much. """"""
Answer:","The sentence """""" I can load these files from the NodeJS server to Angular and embed using an iFrame or to a div using innerHTML attrib with only using the HTML body content. """""" uses <pattern>with only VBG</pattern> to indicate that there is something wrong with the embed function. The answer is YES.",0,0,0,0,0,0,0,1
PS_PROBLEM,"Question: """""" Im having trouble trying to update some data using and api called ""crud:crud"", I can ""get"" and ""post"" fine but ""put"" is giving me this error. How could I fix that? """"""
Answer: ","The sentence """""" Im having trouble trying to update some data using and api called ""crud:crud"" """""" uses <pattern>having trouble VBG</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" Hi! I am seeing some issues with DataVec and the stringToTimeTransform behaviour.  For example,  I tried to output the milliseconds timestamps as produced by the transform on the Basic DataVec Example data (I modified the csv to have entries where month is not only January(i.e. 01). """"""
Answer: ","The sentence """""" I am seeing some issues with DataVec and the stringToTimeTransform behaviour. """""" uses <pattern>seeing some issues with sth</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" Trying to come up with a generic pattern validation directive since none is built in, but running into an issue of only getting the string name of the variable passed to the directive instead of the variable itself... any ideas? """"""
Answer:","The sentence """""" but running into an issue of only getting the string name of the variable passed to the directive instead of the variable itself """""" uses <pattern>running into an issue of VBG</pattern> to describe the problem which the user is currently encountering. The answer is YES.",0,0,0,0,0,0,1,1
PS_STRUGGLING,"Question: """""" I'm struggling with Nd4j.sortWithIndices(lookup_table.getSyn0().norm2(0), 0, false);. The indices are all 0. I'm trying to get the index for the glossary I think I found a way. I iterate over the glossary, useindexOf(String word) to get the indices of my words, then usegetWordVector(String word) for the vectors for my words. I then build a map from these two. """"""
Answer: ","The sentence """""" I'm struggling with Nd4j.sortWithIndices(lookup_table.getSyn0().norm2(0), 0, false) """""" uses <pattern>struggling with sth</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" hello I am using Nodejs with VS2017 and struggling to get my gulp, mocha testing bits working together properly it seems gulp has landed in my C:\\Users.\\AppData\\Roaming\\npm\\node_modules directory. I'd rather like it to land in my project folder. however for now I ran npm link gulp and this has connected the bits to my AppData directory. not my preference, I'd like it to locate the project assets. """"""
Answer: ","The sentence """""" hello I am using Nodejs with VS2017 and struggling to get my gulp """""" uses <pattern>struggling to VB</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" Hey guys, I'm really struggling to understand the best way to build docker containers in CI while running db integration tests against it my idea was to try: npm run test as part of the Dockerfile build process - however, I ran into this issue: [<-LINK->] Where I cannot connect to the host's mysql service from my docker build Are there resources where I can learn about this stuff? """"""
Answer:","The sentence """""" I'm really struggling to understand the best way to build docker containers in CI while running db integration tests against it my idea was to try """""" uses <pattern>struggling to VB</pattern> to describe the problem which the user is currently encountering. The answer is YES.",0,1,0,0,0,0,0,1
PS_NEG_VERB,"Question: """""" Hey guys, any ideas on why a test executes perfectly on a real android device, but .waitForElementById and .elementById will fail every time when I run the same exact test on SauceLabs (Android Emulator)? I'm using node bindings and the latest versions of everything. ""Error response status: 7, , NoSuchElement - An element could not be located on the page using the given search parameters"" """"""
Answer: ","The sentence """""" but .waitForElementById and .elementById will fail every time when I run the same exact test on SauceLabs (Android Emulator)? """""" uses <pattern>sth will fail every time</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" has anyone had success with dockerized jenkins running docker within? I've volume moutned docker, and from within the container i am able to fully do anything i want with docker, but jenkins is complaining access denied (i'm testing with jenkins user of course).... this was working earlier today just fine, i just restarted all the services due to a non-related service change. now all of a sudden it's access denied non-stop from the jenkins ui (again, inside the container works fine) """"""
Answer: ","The sentence """""" but jenkins is complaining access denied """""" uses <pattern>sth is complaining [anomaly]</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" Hi. I have a container element with overflow: auto. On a mobile device, I can only scroll when I touch an area in the container that is not filled by a child component. It seems like the child components are blocking the touch scroll event. How can I fix this? """"""
Answer: ","The sentence """""" It seems like the child components are blocking the touch scroll event. """""" uses <pattern>sth are blocking sth</pattern> to describe the problem which the user is currently encountering. The answer is YES.",0,0,0,0,0,0,1,0
PS_PROBLEM_IS,"Question: """""" Anyone knows a good solution to use php-cli and keep the container running it alive? I'm trying to run a micro service (Lumen) by only using php-cli. But the problem is that my container exits by itself Probably because php-cli is not running a daemon """"""
Answer: ","The sentence """""" But the problem is that my container exits by itself Probably because php-cli is not running a daemon """""" uses <pattern>the problem is that</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" Hi, I am training a word2vec model on a preprocessed wiki corpus using popular frameworks like tensorflow, gensim, originalc and dl4j. The issue is that dl4j's vocab size doesn't seem to be matching other framework's vocab size (456,940words for all other frameworks while it is454,022for dl4j formin_count=30). These vocab sizes are consistent across multiple runs on various cloud instances. What could be causing this? Weirdly, dl4j's vocab size matches other frameworks when trained on wiki corpus.Link to [<-LINK->] . """"""
Answer:","The sentence """""" The issue is that dl4j's vocab size doesn't seem to be matching other framework's vocab size """""" uses <pattern>the issue is that</pattern> to describe the problem which the user is currently encountering. The answer is YES.","Question: """""" hey guys i've got a form in a modal popup, and i wan make a post request to my server the request goes successfully with a 200 status response but my issue is that my data doesn't get sent to the server above is my code snippet. can anyone help-out """"""
Answer:","The sentence """""" but my issue is that my data doesn't get sent to the server above is my code snippet """""" uses <pattern>my issue is that</pattern> to describe the problem which the user is currently encountering. The answer is YES.",0,0,0,1,0,0,1,0
