answer1,answer2
No sentences found to indicate the expectation of the user. The answer is NO.,No sentences found to indicate the expectation of the user. The answer is NO.
"The sentence """""" what is this Gitter User Prod that want to access to my gitlab? """""" uses <pattern>what is DT NN that VB to VB to PRP$ NN</pattern> to describe the expectation of the user. The answer is YES.",No sentences found to indicate the expectation of the user. The answer is NO.
"The sentence """""" how do you uninstall this app? """""" uses <pattern>how to VB</pattern> to describe the expectation of the user. The answer is YES.","The sentence """""" how do you uninstall this app? """""" uses <pattern>how to VB this NN</pattern> to describe the expectation of the user. The answer is YES."
"The sentence """""" Do I need to install Swarm or some swarm tool first for publishing it or we cannot publish from remix. """""" uses <pattern>need to VB</pattern> to describe the expectation of the user. The answer is YES.","The sentence """""" please help. Do I need to install Swarm or some swarm tool first for publishing it or we cannot publish from remix. """""" uses <pattern>need to VB</pattern> to describe the expectation of the user. The answer is YES."
"The sentence """""" I was trying to run DL4J-Android example.other compiles have been downloaded,except this,why? """""" uses <pattern>trying to VB NN example</pattern> to describe the expectation of the user. The answer is YES.","The sentence """""" other compiles have been downloaded, except this, why? """""" uses <pattern>other NN have been VBN</pattern> to describe the expectation of the user. The answer is YES."
"The sentence """""" can someone check that I am doing it right? """""" uses <pattern>VB that I am VB</pattern> to describe the expectation of the user. The answer is YES.","The sentence """""" just an example. In my real code sometimes it will return a promise and sometimes it will return a boolean """""" uses <pattern>VB an example</pattern> to describe the expectation of the user. The answer is YES."
"The sentence """""" How do you guys remote train your java models? """""" uses <pattern>how to VB your NN</pattern> to describe the expectation of the user. The answer is YES.","The sentence """""" How do you guys remote train your java models? """""" uses <pattern>How do you VB your NN</pattern> to describe the expectation of the user. The answer is YES."
"The sentence """""" Am I missing which line of my code triggered this stack trace? """""" uses <pattern>missing which line of my code triggered DT</pattern> to describe the expectation of the user. The answer is YES.","The sentence """""" Am I missing which line of my code triggered this stack trace? """""" uses <pattern>missing which line of my code triggered</pattern> to describe the expectation of the user. The answer is YES."
"The sentence """""" INDArray Omega = InvertMatrix.invert(Sigma, false);fails ifSigmais of size (1,1) with the following error: """""" uses <pattern>fails if NN is of size (1,1) with the following error:</pattern> to describe the expectation of the user. The answer is YES.","The sentence """""" Is this expected? """""" uses <pattern>VBZ this JJ</pattern> to describe the expectation of the user. The answer is YES."
"The sentence """""" I'd like the container to be persistent """""" uses <pattern>like to VB</pattern> to describe the expectation of the user. The answer is YES.","The sentence """""" I'd like the container to be persistent """""" uses <pattern>like to VB</pattern> to describe the expectation of the user. The answer is YES."
